id_itens;data_compra;status_id;from_iata;to_iata;tipo_viagem;data_ida;data_volta;valor_passagem;milhas_usadas;adultos;criancas;
1;2019-08-01;1;GIG;MCO;Ida e volta;2019-08-04 22:05:00;2019-09-09 19:25:00;R$ 3.330;0;1;0;
2;2019-08-02;2;GIG;MIA;Ida e volta;2019-08-04 22:05:00;2019-08-18 19:00:00;R$ 2.678;0;1;0;
3;2019-08-02;2;GIG;SCL;Somente ida;2019-08-05 10:55:00;;R$ 1.812;0;3;0;
4;2019-08-02;1;GIG;SCL;Somente ida;2019-08-05 10:55:00;;R$ 1.812;0;3;0;
5;2019-08-03;2;IOS;GIG;Somente ida;2019-08-05 15:50:00;;R$ 646;0;1;0;
6;2019-08-05;1;GIG;BOG;Somente ida;2019-08-07 06:30:00;;R$ 2.536;0;2;0;
7;2019-08-06;1;GIG;MIA;Somente ida;2019-08-07 20:40:00;;R$ 1.861;40.000;1;0;
8;2019-08-06;1;GIG;SCL;Ida e volta;2019-08-07 23:00:00;2019-08-08 15:45:00;R$ 2.356;68.500;1;0;
9;2019-08-06;1;GIG;LIS;Somente ida;2019-08-09 15:40:00;;R$ 2.384;79.000;1;0;
10;2019-08-01;1;EZE;GIG;Somente ida;2019-08-09 17:15:00;;R$ 1.413;32.400;2;0;
11;2019-08-06;1;GIG;SCL;Somente ida;2019-08-09 23:00:00;;R$ 773;16.500;1;0;
12;2019-08-06;1;GIG;IOS;Somente ida;2019-08-10 06:00:00;;R$ 481;0;1;0;
13;2019-08-05;1;GIG;SCL;Somente ida;2019-08-10 17:10:00;;R$ 673;21.000;1;0;
14;2019-08-07;4;GIG;LIS;Ida e volta;2019-08-10 22:20:00;2019-11-04 14:25:00;R$ 2.910;0;1;0;
15;2019-08-07;1;GIG;LIS;Somente ida;2019-08-11 21:10:00;;R$ 2.384;79.000;1;0;
16;2019-08-10;2;GIG;LIS;Somente ida;2019-08-11 22:10:00;;R$ 1.689;45.500;1;0;
17;2019-08-01;2;GIG;LIS;Somente ida;2019-08-11 23:15:00;;R$ 4.590;0;2;0;
18;2019-08-01;1;GIG;BOG;Somente ida;2019-08-12 06:30:00;;R$ 1.043;0;1;0;
19;2019-08-05;1;GIG;LIS;Ida e volta;2019-08-12 15:25:00;2019-08-27 10:35:00;R$ 2.675;0;1;0;
20;2019-08-08;1;GIG;IOS;Somente ida;2019-08-13 09:35:00;;R$ 1.879;0;3;1;
21;2019-08-11;2;LIS;GIG;Somente ida;2019-08-13 14:20:00;;R$ 1.673;45.500;1;0;
22;2019-08-10;1;GIG;EZE;Ida e volta;2019-08-13 18:00:00;2019-09-10 11:10:00;R$ 1.224;23.100;1;0;
23;2019-08-12;1;GIG;LIS;Somente ida;2019-08-13 22:10:00;;R$ 1.696;45.500;1;0;
24;2019-08-12;2;GIG;LIS;Somente ida;2019-08-13 22:10:00;;R$ 1.689;45.500;1;0;
25;2019-08-12;1;LIS;GIG;Somente ida;2019-08-13 23:30:00;;R$ 85;99.500;1;0;
26;2019-08-05;1;EZE;GIG;Somente ida;2019-08-14 02:45:00;;R$ 718;16.200;1;0;
27;2019-08-05;2;GIG;BOG;Somente ida;2019-08-14 06:30:00;;R$ 2.536;0;2;0;
28;2019-08-13;2;LIS;GIG;Somente ida;2019-08-14 12:10:00;;R$ 3.859;91.000;2;0;
29;2019-08-13;2;LIS;GIG;Somente ida;2019-08-14 14:20:00;;R$ 1.677;45.500;1;0;
30;2019-08-12;2;LIS;GIG;Somente ida;2019-08-14 14:20:00;;R$ 3.332;91.000;2;0;
31;2019-08-13;2;LIS;GIG;Somente ida;2019-08-14 14:20:00;;R$ 1.657;45.500;1;0;
32;2019-08-13;2;LIS;GIG;Somente ida;2019-08-14 14:20:00;;R$ 1.674;45.500;1;0;
33;2019-08-04;2;EZE;GIG;Somente ida;2019-08-14 15:40:00;;R$ 2.601;76.000;2;0;
34;2019-08-11;1;LIS;GIG;Ida e volta;2019-08-14 23:30:00;2019-09-12 21:10:00;R$ 12.605;357.000;2;0;
35;2019-08-14;1;LIS;GIG;Somente ida;2019-08-15 12:05:00;;R$ 2.386;79.000;1;0;
36;2019-08-13;2;LIS;GIG;Somente ida;2019-08-15 16:30:00;;R$ 1.689;45.500;1;0;
37;2019-08-12;2;GIG;SCL;Somente ida;2019-08-15 17:10:00;;R$ 1.259;42.000;2;0;
38;2019-08-12;2;GIG;SCL;Somente ida;2019-08-15 17:10:00;;R$ 1.259;42.000;2;0;
39;2019-08-14;1;GIG;SCL;Ida e volta;2019-08-16 06:35:00;2019-08-23 10:20:00;R$ 5.443;0;2;1;
40;2019-08-05;2;GIG;LIS;Ida e volta;2019-08-16 15:40:00;2019-09-10 23:30:00;R$ 4.996;158.000;1;0;
41;2019-08-14;1;GIG;MCO;Somente ida;2019-08-18 13:55:00;;R$ 1.889;51.000;1;0;
42;2019-08-07;1;GIG;LIS;Ida e volta;2019-08-18 21:10:00;2019-08-28 12:05:00;R$ 4.660;158.000;1;0;
43;2019-08-05;2;YYZ;GIG;Somente ida;2019-08-19 15:44:00;;R$ 1.254;38.000;1;0;
44;2019-08-17;1;BCN;GIG;Somente ida;2019-08-19 18:50:00;;R$ 1.700;45.500;1;0;
45;2019-08-16;2;BCN;GIG;Somente ida;2019-08-19 18:50:00;;R$ 1.700;45.500;1;0;
46;2019-08-16;3;EZE;GIG;Somente ida;2019-08-20 02:45:00;;R$ 1.654;41.000;2;0;
47;2019-08-13;2;EZE;GIG;Ida e volta;2019-08-20 02:45:00;2019-09-01 06:15:00;R$ 1.306;32.400;1;0;
